site,Y,X
GM12,-8.427388,-61.662047
GM19,-8.433038,-61.675039
GM18,-8.444727,-61.636534
GM14,-8.435365,-61.629965
CF05,-8.446447,-61.649645
GM10,-8.404354,-61.620387
GM09,-8.406083,-61.636761
GM02,-8.402443,-61.651485
GM03,-8.392142,-61.64002
GM100,-8.380214,-61.632851
GM101,-8.391084,-61.65437
GM11,-8.41783,-61.624841
GM17,-8.421973,-61.638524
GM07,-8.415896,-61.611602
N09,-8.501451,-61.661002
N10,-8.513981,-61.662783
N11,-8.526478,-61.664277
N12,-8.539526,-61.665478
N13,-8.551641,-61.667768
GM20,-8.439122,-61.661192
GM06,-8.399656,-61.606273
GM04,-8.392308,-61.625538
GM05,-8.386141,-61.61397
GM102,-8.372205,-61.615716
GM107,-8.36963,-61.638528
GM103,-8.366297,-61.629026
GM105,-8.356492,-61.621392
GM104,-8.359752,-61.611105
GM106,-8.356277,-61.602135
N25,-8.522806,-61.620443
N26,-8.532513,-61.621227
N27,-8.545888,-61.62328
N28,-8.558465,-61.62432
N16,-8.517591,-61.64728
N17,-8.530233,-61.649912
N29,-8.522371,-61.604159
N30,-8.53443,-61.606767
N37,-8.482335,-61.650464
GM15,-8.46415,-61.665494
GM01,-8.475478,-61.660143
N43,-8.501586,-61.597948
N42,-8.49634,-61.60701
N41,-8.509542,-61.61093
N40,-8.506731,-61.623745
CF06,-8.49583,-61.618751
N39,-8.490727,-61.63381
N38,-8.478745,-61.632438
N32,-8.556388,-61.609402
N31,-8.545236,-61.608119
N33,-8.565476,-61.612688
N02,-8.484166,-61.678944
CL27,-8.447566,-61.677126
N01,-8.470286,-61.675353
GM21,-8.45347,-61.663242
N36,-8.471495,-61.642408
N08,-8.494381,-61.653058
N53,-8.492701,-61.691584
N50,-8.506476,-61.691594
N51,-8.521243,-61.692363
N52,-8.534322,-61.692739
N04,-8.497171,-61.674471
N05,-8.509618,-61.676404
N06,-8.522403,-61.678527
N15,-8.503889,-61.644869
EX01,-8.494503,-61.637295
EX02,-8.496029,-61.653348
N55,-8.439268,-61.686776
N56,-8.430138,-61.695426
EX03,-8.446277,-61.65858
CT CARCACA,-8.953832,-63.168738
CTES01,-8.871821,-63.237151
CTES02,-8.908407,-63.23574
CTES03,-8.914463,-63.251175
CTES04,-8.938745,-63.233101
CTES05,-8.976985,-63.144899
CTES06,-8.97645,-63.162421
CTES07,-8.980315,-63.184287
CTES09,-8.966722,-63.235343
CTES11,-8.950726,-63.226699
CTES12,-8.873369,-63.221206
CTES13,-8.891394,-63.217609
CTES14,-8.906545,-63.21944
CTES15,-8.873314,-63.202615
CTES16,-8.890116,-63.2023
CTES17,-8.908605,-63.202846
CTES20,-8.909532,-63.18387
CTES21,-8.928518,-63.185726
CTES22,-8.926767,-63.202693
CTES23,-8.926798,-63.221874
CTES24,-8.943402,-63.182845
CTES25,-8.94658,-63.204156
CTES26,-8.944815,-63.166221
CTES27,-8.96065,-63.180442
CTES28,-8.962208,-63.149336
CTES29,-8.943738,-63.149081
CTES31,-8.927363,-63.169452
CTES37,-8.963227,-63.204722
CTES38,-8.98057,-63.240885
CTES39,-8.981114,-63.1313
CTES40,-8.965853,-63.221765
CTES42,-8.979994,-63.218583
CTES43,-8.961295,-63.163543
CTES44,-8.980034,-63.20054
CTES60,-8.859033,-63.246846
CTES61,-8.857319,-63.24082
CTES62,-8.872671,-63.195867
CTES63,-8.888177,-63.238193
CTES64,-8.934887,-63.211182
CTES65,-8.95008,-63.191971
CTES66,-8.916009,-63.226915
CTES67,-8.898279,-63.236525
CT7368.69,-9.061179,-63.245779
CT7524,-9.10856,-63.235823
CT7991,-9.230228,-63.149534
CT8916,-9.50436,-63.36598
CT9074,-9.554248,-63.216924
CT9536,-9.701541,-63.356616
CT10162,-9.861899,-63.091463
CT7809,-9.18342,-64.34003
CT7199,-9.016861,-63.918328
CT9193,-9.571926,-64.868722
CT9502,-9.694317,-64.91543
CT8734,-9.431569,-64.569294
CT9195,-9.58957,-64.748204
CT9040,-9.56241,-64.780178
CT11721,-10.31439,-62.663369
CT11730,-10.340752,-62.263234
CT11576,-10.27716,-62.216108
CT11726,-10.300954,-62.427753
CT11109,-10.153035,-62.29716
CT11268,-10.174631,-62.112782
CT10958,-10.086581,-62.135148
CT10340,-9.92874,-62.028915
CT10183,-9.851675,-62.144556
CT10027,-9.795593,-62.16085
CT9871,-9.757682,-62.211511
CT9253,-9.586002,-62.127289
CT8632,-9.402469,-62.177795
CT6279,-8.717552,-63.448663
CT5971,-8.658374,-63.365432
CT6131,-8.700079,-63.107401
CT6129,-8.668761,-63.225743
CT5661,-8.566756,-63.34934
CT5506,-8.515614,-63.344484
CT9967,-9.804413,-64.897817
CT9805,-9.749745,-65.22361
CT10581,-9.976552,-65.159387
CT10428,-9.938958,-65.07727
CT11052,-10.109499,-64.919855
CT11674,-10.319883,-64.796343
CT11520,-10.277984,-64.778332
CT11209,-10.160703,-64.832123
CT11057,-10.144819,-64.689729
CT10744,-10.022847,-64.815594
CT10432,-9.969299,-64.895075
CT10433,-9.94828,-64.862093
CT9855,-9.769517,-62.929434
CT9697,-9.747631,-63.084114
CT9705,-9.717633,-62.729281
CT9084,-9.554825,-62.787314
CT8776,-9.458636,-62.666964
CT8310,-9.334619,-62.725717
CT7848,-9.176852,-62.594743
CT7227,-9.025779,-62.613952
CT7697,-9.13437,-62.417722
CT7539,-9.07713,-62.518732
CT8323,-9.339378,-62.119201
CT7509,-9.078799,-63.895711
CT7356,-9.054227,-63.80568
CT7203,-8.984312,-63.723783
CT7358,-9.059895,-63.704881
CT7669,-9.146529,-63.687025
CT11074,-10.148215,-63.914835
CT11530,-10.256052,-64.315014
CT11994,-10.403044,-64.353097
CT11533,-10.26515,-64.189754
CT10913,-10.095899,-64.15878
CT11539,-10.280565,-63.91965
CT10921,-10.100207,-63.813501
CT10924,-10.107069,-63.661126
CT11234,-10.18265,-63.65717
CT11709,-10.330736,-63.221192
CT11398,-10.223791,-63.254283
CT5957,-8.627551,-63.984237
CT5646,-8.538159,-64.01808
CT5030,-8.354984,-63.868866
CT11045,-10.124587,-65.20767
CT11049,-10.111717,-65.039334
CT11819,-10.356512,-65.284764
CT12131,-10.447617,-65.197293
CT12134,-10.42918,-65.025893
CT12137,-10.430573,-64.905805
CT7831,-9.164566,-63.35259
CT8144,-9.260106,-63.199368
CT8608,-9.403059,-63.275251
CT8449,-9.345775,-63.439437
