region,stationID,station,Y,X
PNM,CL105,103,-7.892250000000000,-63.871160000000003
PNM,CL116,104,-7.902630000000000,-63.829079999999998
PNM,CL121,105,-8.670240000000000,-64.446749999999994
PNM,CL130,106,-8.660170000000001,-64.406130000000005
PNM,CL154,107,-8.943730000000000,-64.606610000000003
PNM,CL157,108,-8.942660000000000,-64.553309999999996
PNM,CL159,109,-7.929830000000000,-63.864190000000001
PNM,CS153,110,-8.971909999999999,-64.603830000000002
PNM,CS156,111,-8.974349999999999,-64.575950000000006
PNM,CSn1,112,-8.656010000000000,-64.343490000000003
PNM,Deer1,113,-7.622820000000000,-63.785670000000003
PNM,Deer2,114,-7.717170000000000,-63.777099999999997
PNM,Deer3,115,-7.555190000000000,-63.755499999999998
PNM,Deer4,116,-7.572920000000000,-63.762189999999997
PNM,Ex1106D1,117,-8.687749999999999,-64.582042999999999
PNM,Ex1106D2,118,-8.710000000000001,-64.562420000000003
PNM,Ex1106D3,119,-8.734830000000001,-64.540499999999994
PNM,Ex1106D4,120,-8.762680000000000,-64.516329999999996
PNM,Ex1206D1,121,-8.824790000000000,-64.462720000000004
PNM,Ex1206D2,122,-8.855350000000000,-64.482159999999993
PNM,Ex1306D1,123,-8.945990000000000,-64.648269999999997
PNM,Ex1506D1,124,-8.950180000000000,-64.717709999999997
PNM,Ex1506D2,125,-8.946800000000000,-64.682779999999994
PNM,Ex1606D1,126,-8.943300000000001,-64.797150000000002
PNM,Ex1606D2,127,-8.952859999999999,-64.774730000000005
PNM,Ex1606D3,128,-8.958170000000001,-64.745540000000005
PNM,Ex1806D1,129,-9.392239999999999,-65.080309999999997
PNM,Ex1806D2,130,-9.383470000000001,-65.013310000000004
PNM,Ex1806D3,131,-9.472080000000000,-65.175650000000005
PNM,Ex1806D4,132,-9.568339999999999,-65.075720000000004
PNM,Ex1806D5,133,-9.526610000000000,-65.042529999999999
PNM,F113,134,-7.972520000000000,-64.083190000000002
PNM,F114,135,-7.962010000000000,-64.056989999999999
PNM,F115,136,-8.030320000000000,-64.048699999999997
PNM,F128,137,-8.794850000000000,-64.480770000000007
PNM,F200,138,-7.776500000000000,-63.838999999999999
PNM,FN1,139,-8.618259999999999,-64.308329999999998
PNM,Fn11,140,-8.974119999999999,-64.635859999999994
PNM,Fn2,141,-8.787400000000000,-64.402439999999999
PNM,Fn3,142,-8.792650000000000,-64.375850000000000
PNM,Fn4,143,-8.825250000000000,-64.415499999999994
PNM,Fn5,144,-8.844480000000001,-64.435100000000006
JD,CTJD01,145,-9.008660000000001,-64.293300000000002
JD,CTJD02,146,-8.951850000000000,-64.103449999999995
JD,CTJD03,147,-8.970330000000001,-64.170150000000007
JD,CTJD04,148,-8.949230000000000,-64.205060000000003
JD,CTJD05,149,-8.930210000000001,-64.354050000000001
JD,CTJD06,150,-8.987280000000000,-64.385159999999999
JD,CTJD07,151,-8.980670000000000,-64.215810000000005
JD,CTJD08,152,-8.945380000000000,-64.267719999999997
JD,CTJD09,153,-9.051729999999999,-64.549459999999996
JD,CTJD10,154,-9.087740000000000,-64.448189999999997
JD,CTJD11,155,-9.091390000000001,-64.405760000000001
JD,CTJD12,156,-9.048950000000000,-64.442890000000006
JD,CTJD13,157,-9.001740000000000,-64.432569999999998
JD,CTJD14,158,-9.067790000000000,-64.353589999999997
JD,CTJD15,159,-9.019130000000001,-64.365110000000001
JD,CTJD16,160,-9.034549999999999,-64.329530000000005
JD,CTJD17,161,-8.976459999999999,-64.344960000000000
JD,CTJD18,162,-8.965590000000001,-64.262050000000002
SM,CTSM01,163,-9.010270000000000,-61.672440000000002
SM,CTSM02,164,-9.035940000000000,-61.646360000000001
SM,CTSM03,165,-9.066850000000001,-61.684269999999998
SM,CTSM04,166,-9.079549999999999,-61.806489999999997
SM,CTSM05,167,-9.137269999999999,-61.815519999999999
SM,CTSM06,168,-9.122900000000000,-61.762619999999998
SM,CTSM07,169,-9.068890000000000,-61.722799999999999
SM,CTSM08,170,-9.145440000000001,-61.636949999999999
SM,CTSM09,171,-8.976060000000000,-61.608280000000001
SM,CTSM10,172,-8.984769999999999,-61.573110000000000
SM,CTSM11,173,-9.126410000000000,-61.714680000000001
SM,CTSM12,174,-9.196270000000000,-61.705500000000001
SM,CTSM13,175,-9.181490000000000,-61.673830000000002
SM,CTPB01,176,-9.181200000000000,-63.482030000000002
EES,CTES01,177,-8.959920000000000,-63.164140000000003
EES,CTES02,178,-8.957240000000001,-63.171039999999998
EES,CTES03,179,-8.931970000000000,-63.202710000000003
EES,CTES04,180,-8.903790000000001,-63.240710000000000
